Table 2 
Physical Properties of the Sample of Quiescent Galaxies


Object ID	Slitmask	R.A.	Decl.	z	sigma_e	R_e	n	q	log M_*/M_sun	log M_dyn/M_sun	
(J2000)	(J2000)	(km s^-1)	(kpc)	
34879	COSMOS 2	150.13138	2.5238	1.322	213 +or- 53	5.45	8.0	0.87	11.23 +or- 0.05	11.46 +or- 0.22	
2337	COSMOS 4	150.10076	2.2058	1.327	279 +or- 20	1.54	3.5	0.70	11.04 +or- 0.06	11.14 +or- 0.08	
14758^b	COSMOS 3	150.06416	2.4179	1.331	156 +or- 16	0.83	2.2	0.84	10.71 +or- 0.03	10.37 +or- 0.10	
3704	N10 (GOODS-N)	189.11320	62.1325	1.396	191 +or- 23	0.98	4.1	0.42	10.47 +or- 0.06	10.62 +or- 0.11	
19498	COSMOS 2	150.11063	2.5038	1.401	250 +or- 39	0.84	4.2	0.46	10.75 +or- 0.07	10.79 +or- 0.14	
42109	N10 (EGS)	215.12170	52.9575	1.406	369 +or- 48	0.73	2.3	0.41	10.77 +or- 0.07	11.06 +or- 0.12	
5020	GOODS-S 1	53.17976	-27.7116	1.415	181 +or- 54	2.07	4.6	0.88	10.83 +or- 0.08	10.90 +or- 0.26	
4906	GOODS-S 1	53.18302	-27.7090	1.419	298 +or- 26	2.33	3.7	0.59	11.34 +or- 0.07	11.38 +or- 0.09	
13880	COSMOS 3	150.07210	2.4001	1.432	169 +or- 70	0.87	2.6	0.62	10.64 +or- 0.07	10.46 +or- 0.36	
20841	COSMOS 2	150.17009	2.5256	1.439	267 +or- 52	1.43	1.3	0.35	10.65 +or- 0.06	11.07 +or- 0.18	
20275	COSMOS 2	150.07093	2.5164	1.442	221 +or- 70	1.36	4.0	0.51	10.80 +or- 0.07	10.89 +or- 0.28	
34265	COSMOS 2	150.17016	2.4811	1.582	377 +or- 54	0.92	2.9	0.22	11.33 +or- 0.04	11.18 +or- 0.13	
2653	N10 (GOODS-N)	188.96250	62.2286	1.598	174 +or- 27	0.94	8.0	0.60	10.82 +or- 0.18	10.52 +or- 0.14	
Notes. The slitmask name N10 indicates the objects presented in Newman et al. (2010), and the field in which they were observed is given in parentheses. sigma_e is the velocity dispersion within one effective radius, calculated using Equation (2). The effective radius R_e, Sersic index n and axis ratio q are measured in the F160W band. We estimate the observational uncertainty on R_e to be 10%. The dynamical masses M_dyn are calculated using Equation (3).
a The structural parameters for these objects are measured in the F814W band instead of F160W.
b Objects detected in the X-ray.
